PROGRAMA;CONCURSO;FOLIO;ANOPOSTULACION;ANO FALLO;RESPONSABLE PROYECTO;SEXO_RESPONSABLE;NOMBREINVEQUIPO;ROLINVEQUIPO;SEXOINVEQUIPO;INSTITUCIONEQUIPO
FONDECYT;FONDECYT REGULAR 2016;1160079;2015;2016;JOSE CORREA HAEUSSLER;HOMBRE;JOSE CORREA HAEUSSLER;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160080;2015;2016;ALDO SOLARI;HOMBRE;ALDO SOLARI;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160080;2015;2016;ALDO SOLARI;HOMBRE;PEDRO CATTAN;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160080;2015;2016;ALDO SOLARI;HOMBRE;RICARDO  CAMPOS;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160094;2015;2016;ROMUALDO IBANEZ ORELLANA;HOMBRE;ROMUALDO IBANEZ ORELLANA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160094;2015;2016;ROMUALDO IBANEZ ORELLANA;HOMBRE;FERNANDO MONCADA;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160094;2015;2016;ROMUALDO IBANEZ ORELLANA;HOMBRE;FELIPE CORNEJO;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160098;2015;2016;JOSE FERMANDOIS HUERTA;HOMBRE;JOSE FERMANDOIS HUERTA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160098;2015;2016;JOSE FERMANDOIS HUERTA;HOMBRE;SEBASTIAN HURTADO TORRES;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;JAIME SAPAG MUNOZ DE LA PENA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
