PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDECYT;FONDECYT REGULAR 2016;1160710;2015;2016;JUAN ORELLANA ROCA;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160710;2015;2016;JUAN ORELLANA ROCA;HOMBRE;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160710;2015;2016;JUAN ORELLANA ROCA;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD AUTONOMA DE CHILE;71633300-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160710;2015;2016;JUAN ORELLANA ROCA;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160717;2015;2016;ROBERTO QUEVEDO LEON;HOMBRE;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160721;2015;2016;SICHEM GUERRERO RUZ;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE LOS ANDES;71614000-8;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160721;2015;2016;SICHEM GUERRERO RUZ;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160724;2015;2016;NIBALDO INESTROSA CANTIN;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160732;2015;2016;CLAUDIA MATUS CANOVAS;MUJER;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160732;2015;2016;CLAUDIA MATUS CANOVAS;MUJER;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160736;2015;2016;NICOLAS CROSSLEY KARMELIC;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160736;2015;2016;NICOLAS CROSSLEY KARMELIC;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DEL DESARROLLO;71644300-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160736;2015;2016;NICOLAS CROSSLEY KARMELIC;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160738;2015;2016;SEBASTIAN MALDONADO ALARCON;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE LOS ANDES;71614000-8;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
