PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160142;2016;2016;CARLOS CRISTI MONTERO;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;81669200-8;CHILE;REGION DE VALPARAISO
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;81669200-8;CHILE;REGION DE VALPARAISO
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20002;2016;2016;MARIA GONZALEZ MIRANDA;MUJER;BENEFICIARIA PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;81669200-8;CHILE;REGION DE VALPARAISO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160099;2016;2016;NANCY PIZARRO URZUA;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160050;2016;2016;ERNESTO ZUMELZU DELGADO;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD AUSTRAL DE CHILE;81380500-6;CHILE;REGION DE LOS RIOS
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160161;2016;2016;LUIS GOMEZ PARADA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD AUSTRAL DE CHILE;81380500-6;CHILE;REGION DE LOS RIOS
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160182;2016;2016;GONZALO MARDONES COFRE;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD AUSTRAL DE CHILE;81380500-6;CHILE;REGION DE LOS RIOS
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160152;2016;2016;HECTOR PESENTI PEREZ;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD CATOLICA DE TEMUCO;71918700-5;CHILE;REGION DE LA ARAUCANIA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160085;2016;2016;ARIADNA   MECHO LAUSAC;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD CATOLICA DEL NORTE;81518400-9;CHILE;REGION DE ANTOFAGASTA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160120;2016;2016;RAMON ZARATE ALIAGA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD CATOLICA DEL NORTE;81518400-9;CHILE;REGION DE ANTOFAGASTA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160073;2016;2016;PEDRO CEREZAL MEZQUITA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE ANTOFAGASTA;70791800-4;CHILE;NO REGISTRA REGION
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160171;2016;2016;CHRISTOPHER HARROD;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE ANTOFAGASTA;70791800-4;CHILE;REGION DE ANTOFAGASTA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160019;2016;2016;MARIA LIENQUEO CONTRERAS;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160053;2016;2016;GINES GUERRERO HERNANDEZ;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160084;2016;2016;JUAN FUENTES ESPOZ;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160122;2016;2016;JESUS CARDENAS DOBSON;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160157;2016;2016;FELIPE OYARZUN AMPUERO;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160015;2016;2016;GONZALO MONTALVA ALVARADO;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CONCEPCION;81494400-K;CHILE;REGION DEL BIO-BIO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160100;2016;2016;JOSE NEIRA HINOJOSA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CONCEPCION;81494400-K;CHILE;NO REGISTRA REGION
PIA;CONCURSO NACIONAL DE ASIGNACION DE TIEMPO DE BUQUE OCEANOGRAFICO AGS-61 CABO DE HORNOS 2016;AUB160003;2016;2016;RUBEN ESCRIBANO VELOSO;HOMBRE;INSTITUCION PATROCINANTE;UNIVERSIDAD DE CONCEPCION;81494400-K;CHILE;REGION DEL BIO-BIO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160054;2016;2016;CLEDIR SANTOS;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160059;2016;2016;RICARDO FELMER DORNER;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160007;2016;2016;ANDRES BERNASCONI RAMIREZ;HOMBRE;INSTITUCION ASOCIADA;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160167;2016;2016;IVAN PEREZ SANTOS;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE LOS LAGOS;70772100-6;CHILE;REGION DE LOS LAGOS
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160007;2016;2016;ANDRES BERNASCONI RAMIREZ;HOMBRE;INSTITUCION ASOCIADA;UNIVERSIDAD DE MAGALLANES;71133700-8;CHILE;REGION DE MAGALLANES Y LA ANTARTICA CHILENA
